韩文程的会议室-说话人01(00:00:00): 两个地方我觉得可以明显一点。
韩文程的会议室-说话人02(01:42:40): 行，反正我先让他测一些基础功能，到时候他有疑惑点，我直接不跟他讲。

刘书言(01:42:45): 对明天明明天就是让测试先投入进来吧，就你们同步他测他的，然后你们改一些刚才会上提的这些东西。

韩文程的会议室-说话人02(01:42:54): 可以摸底。

韩文程的会议室-说话人01(01:42:59): OK 现在咱们这个排期就是除了跟火山对接 API 预计是什么时候就包括前前面那个建制跟现在。

韩文程的会议室-说话人06(01:43:08): 整个有一个东西我忘了说了，正好再加一个东西，代金券。

韩文程的会议室-说话人01(01:43:16): 有一下人。

韩文程的会议室-说话人06(01:43:18): 因为那个什么，因为那个因为我想有些客户，如果对这个价格这个事有就是比如说他接触过别的团队，咱们以前就给你砍价的话，你可以，你是可以给他优惠的。如果现在想要先占跑马圈地，包括咱跑马圈地，如果咱要更快的推，咱可以放弃部分利润，但问题在于你肯定不能直接就把价往上定，你直接把价往上定，或者把价改了的话，这后续就很难去再让你涨回来了。

韩文程的会议室-说话人01(01:43:51): 带一下为什么你给个带一下的码？

韩文程的会议室-说话人06(01:43:53): 不是你可以直接发到账户上都行，你不用他的码，你给码也行，你直接发账户上也行，总之就是咱可以，比如说咱不给他打折，咱可以给他发一个，比如说5折的代金一半的代金券。

韩文程的会议室-说话人01(01:44:08): 这个带线的生效时间，带线的。

韩文程的会议室-说话人02(01:44:12): 这个东西得设计一下在哪里发放是管理员发放管理员手动发放。

韩文程的会议室-说话人06(01:44:16): 只要手动发放。

韩文程的会议室-说话人02(01:44:18): 在这。

韩文程的会议室-说话人06(01:44:19): 管理员都手动发放的。

韩文程的会议室-说话人02(01:44:22): 那我直接在这不就行了吗？我直接在企业管理里给我放，比如说我加一个八八优惠券。我在想你，然后我在哪里？

韩文程的会议室-说话人06(01:44:29): 不要用码我就去卖。不要用码？

韩文程的会议室-说话人01(01:44:34): 套餐和上。

韩文程的会议室-说话人02(01:44:35): 就直接给他发了，他有就有。

韩文程的会议室-说话人01(01:44:37): 反正怎么会自动给你实名等一下的额度，生效时间。

韩文程的会议室-说话人06(01:44:37): 在院子在地？

韩文程的会议室-说话人06(01:44:46): 代金券可以这样，你们从火山给咱设计代金券，比如说一共有多少钱，代金券？然后你买，比如说我们用不了他5万块钱的券，他买一个可以以后有的可以就是比如买一个200块钱的他可以扣个100块钱的券是券。代金券是有一个，比如折扣就50代金券总值是100 a，总值是5万块。

韩文程的会议室-说话人01(01:45:09): 九十是一。

韩文程的会议室-说话人06(01:45:12): 每笔订单这个自己付一半带一块付一半5折带一块，比如说要7折带一块也是就是抵扣百分之抵扣30%。

韩文程的会议室-说话人01(01:45:12): 每天他。

韩文程的会议室-说话人06(01:45:22): 我再总会有一个总额会有一个剩余的比例？

韩文程的会议室-说话人03(01:45:27): 你总额是算优惠总额还是算定优惠总额？

韩文程的会议室-说话人06(01:45:30): 优优惠总的吧，总共能优惠多少钱吧？

韩文程的会议室-说话人02(01:45:31): 多少。然后每一笔，然后能给他抵多少钱？

韩文程的会议室-说话人06(01:45:37): 对。

韩文程的会议室-说话人02(01:45:37): 到时候你你设计一下。

韩文程的会议室-说话人06(01:45:39): 你设计一下优惠券系统吧，咱就送，可以通过优惠券的方式去送，就给别人打折的话，这样的就是他券用不了，他就用原价了，这个好理解吧！

韩文程的会议室-说话人02(01:45:49): 看到第一晚上，因为这个东西要去改支付这一块。

韩文程的会议室-说话人03(01:45:54): 对支付他就之后那边扣点。

韩文程的会议室-说话人02(01:45:56): 扣一点。

韩文程的会议室-说话人06(01:45:57): 有的在支付之前，反正尽量在第一版就上了，这样咱第一版就可以送一波串。不能成交。在团队才能生活着出什么样子，包括？

刘书言(01:46:12): 也记一下，那会后到时看李这两天帮你改一下原型。

韩文程的会议室-说话人06(01:46:14): 进了。包括你给代理的可以每个月以串的形式。

韩文程的会议室-说话人01(01:46:23): 对政策你是要给他签合同的，他在我回来协议约定了从几号到几号之前都享受。

韩文程的会议室-说话人06(01:46:30): 不是我的意思是你说你不是每个月剩下的在体验账号吗？体验账号？

韩文程的会议室-说话人06(01:46:38): 可以串什么上？

韩文程的会议室-说话人01(01:46:40): 完全。可以我们给代理释放了他们不是他们也给人演示给人试用的需求，他们可以以非常低的成本在咱们这边买什么。爱月发。按月自动化？然后这边主流程开开通完之后增光就构思把咱们这些系统都开放，那个 API 后面可以给整一下调用。

韩文程的会议室-说话人01(01:47:10): 对。

韩文程的会议室-说话人03(01:47:14): 那基本就直接改动。

韩文程的会议室-说话人06(01:47:16): 走，这不是6点半吗？那么早上。把那个材料发给就行，发给。

韩文程的会议室-说话人02(01:47:25): 虽然你这边还有啥问题吗？

刘书言(01:47:27): 没有了，回头完了我把这个会议链接发给你们，然后该改的改一下。

韩文程的会议室-说话人02(01:47:33): 行。行，那就这样孙。

刘书言(01:47:39): 行拜拜。
